Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC205Tkf1_rev	PDAC205Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74379659.0	0.0	40-75	49.0	43.453797318962465	74.98494319528946	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC206T_F8-9kf1_fwd	PDAC206T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36127924.0	0.0	40-75	51.0	43.14378923930461	74.97716829785182	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC206T_F8-9kf1_rev	PDAC206T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36127924.0	0.0	40-75	51.0	42.9925002428416	74.97716829785182	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
PDAC206Tkf1_fwd	PDAC206Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	147197400.0	0.0	40-75	48.0	31.551705931848183	74.96484434507674	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
PDAC206Tkf1_rev	PDAC206Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	147197400.0	0.0	40-75	49.0	30.908952631924503	74.96484434507674	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
PDAC207T_F8-9kf1_fwd	PDAC207T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50939263.0	0.0	40-75	47.0	60.7621601345771	74.95996985665066	pass	pass	warn	pass	warn	fail	pass	warn	warn	fail	pass
PDAC207T_F8-9kf1_rev	PDAC207T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50939263.0	0.0	40-75	48.0	61.9593826982658	74.95996985665066	pass	pass	fail	pass	warn	warn	pass	warn	warn	warn	pass
PDAC207Tkf1_fwd	PDAC207Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68118770.0	0.0	40-75	51.0	52.13245906242534	74.97416441899935	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
PDAC207Tkf1_rev	PDAC207Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68118770.0	0.0	40-75	51.0	52.040789513473264	74.97416441899935	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
PDAC208T_F8-9kf1_fwd	PDAC208T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37464546.0	0.0	40-75	54.0	33.50585415876321	74.9730817504101	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC208T_F8-9kf1_rev	PDAC208T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37464546.0	0.0	40-75	54.0	34.93854228110116	74.9730817504101	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC208Tkf1_fwd	PDAC208Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93797803.0	0.0	40-75	49.0	40.24512630443119	74.97497742031335	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC208Tkf1_rev	PDAC208Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93797803.0	0.0	40-75	49.0	44.258054969303025	74.97497742031335	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC209T_F8-9kf1_fwd	PDAC209T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35551828.0	0.0	40-75	51.0	48.43819147623682	74.98282392117784	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
PDAC209T_F8-9kf1_rev	PDAC209T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35551828.0	0.0	40-75	51.0	45.821832964110065	74.98282392117784	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
PDAC209Tkf1_fwd	PDAC209Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77026532.0	0.0	40-75	48.0	41.57323246512052	74.98195764545132	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC209Tkf1_rev	PDAC209Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77026532.0	0.0	40-75	49.0	41.50613633888949	74.98195764545132	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC210T_F8-9kf1_fwd	PDAC210T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36253502.0	0.0	40-75	55.0	35.27161645957886	74.98363738763776	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC210T_F8-9kf1_rev	PDAC210T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36253502.0	0.0	40-75	55.0	37.03528204696037	74.98363738763776	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC210Tkf1_fwd	PDAC210Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70654594.0	0.0	40-75	48.0	40.167162547937544	74.9895546211758	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC210Tkf1_rev	PDAC210Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70654594.0	0.0	40-75	49.0	43.82712852266232	74.9895546211758	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC211T_F8-9kf1_fwd	PDAC211T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40366946.0	0.0	40-75	50.0	50.639239976242635	74.97687147301161	pass	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
PDAC211T_F8-9kf1_rev	PDAC211T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40366946.0	0.0	40-75	50.0	49.188022775685766	74.97687147301161	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC211Tkf1_fwd	PDAC211Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	105995295.0	0.0	40-75	46.0	41.081907448964714	74.98552743308088	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC211Tkf1_rev	PDAC211Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	105995295.0	0.0	40-75	47.0	41.00811210472811	74.98552743308088	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
PDAC212T_F8-9kf1_fwd	PDAC212T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51401210.0	0.0	40-75	52.0	40.43964927149421	74.98086239604088	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC212T_F8-9kf1_rev	PDAC212T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51401210.0	0.0	40-75	52.0	38.539147730219945	74.98086239604088	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
