Sample	Unique Reads	Duplicate Reads
PDAC216T_F8-9kf1_R1	16447597.0	39886019.0
PDAC216T_F8-9kf1_R2	15234305.0	41099311.0
PDAC216Tkf1_R1	37637154.0	58342442.0
PDAC216Tkf1_R2	37510297.0	58469299.0
PDAC217T_F8-9kf1_R1	12790007.0	45500648.0
PDAC217T_F8-9kf1_R2	12927750.0	45362905.0
PDAC217Tkf1_R1	25903864.0	65890047.0
PDAC217Tkf1_R2	26002783.0	65791128.0
PDAC218T_F8-9kf1_R1	18920746.0	36969756.0
PDAC218T_F8-9kf1_R2	18270474.0	37620028.0
PDAC218Tkf1_R1	23647300.0	84921089.0
PDAC218Tkf1_R2	24861392.0	83706997.0
PDAC219T_F8-9kf1_R1	13619521.0	27937838.0
PDAC219T_F8-9kf1_R2	13988511.0	27568848.0
PDAC219Tkf1_R1	42432840.0	64377800.0
PDAC219Tkf1_R2	41611108.0	65199532.0
PDAC220T_F8-9kf1_R1	7792183.0	55540780.0
PDAC220T_F8-9kf1_R2	8535963.0	54797000.0
PDAC220Tkf1_R1	34561123.0	65416936.0
PDAC220Tkf1_R2	34555742.0	65422317.0
PDAC221T_F8-9kf1_R1	10490419.0	33215201.0
PDAC221T_F8-9kf1_R2	10777067.0	32928553.0
PDAC221Tkf1_R1	27926420.0	62939117.0
PDAC221Tkf1_R2	30363272.0	60502265.0
PDAC222T_F8-9kf1_R1	12526875.0	34686151.0
PDAC222T_F8-9kf1_R2	12437658.0	34775368.0
PDAC222Tkf1_R1	30207465.0	67502901.0
PDAC222Tkf1_R2	27979204.0	69731162.0
PDAC223T_F8-9kf1_R1	12999316.0	41548887.0
PDAC223T_F8-9kf1_R2	13185760.0	41362443.0
PDAC223Tkf1_R1	35853301.0	68148786.0
PDAC223Tkf1_R2	35626852.0	68375235.0
PDAC224T_F8-9kf1_R1	23366443.0	34126305.0
PDAC224T_F8-9kf1_R2	22187744.0	35305004.0
PDAC224Tkf1_R1	27664677.0	66162432.0
PDAC224Tkf1_R2	28290418.0	65536691.0
PDAC225T_F8-9kf1_R1	21293872.0	29165369.0
PDAC225T_F8-9kf1_R2	20341073.0	30118168.0
PDAC225Tkf1_R1	37882271.0	56642881.0
PDAC225Tkf1_R2	37810433.0	56714719.0
PDAC226T_F8-9kf1_R1	10136938.0	75630384.0
PDAC226T_F8-9kf1_R2	11649867.0	74117455.0
PDAC226Tkf1_R1	41054496.0	71397101.0
PDAC226Tkf1_R2	41859764.0	70591833.0
PDAC227T_F8-9kf1_R1	18633375.0	31259312.0
PDAC227T_F8-9kf1_R2	17101901.0	32790786.0
PDAC227Tkf1_R1	22238401.0	60719147.0
PDAC227Tkf1_R2	22330032.0	60627516.0
