Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC205Tkf1_R1	64.59966605918297	50.0	74.98489218582057	27.27272727272727	86701490.0
PDAC205Tkf1_R2	61.2792467598066	51.0	74.98489218582057	18.181818181818183	86701490.0
PDAC206T_F8-9kf1_R1	62.058580280433794	53.0	74.97720548542381	18.181818181818183	41969264.0
PDAC206T_F8-9kf1_R2	61.640970153169675	53.0	74.97720548542381	9.090909090909092	41969264.0
PDAC206Tkf1_R1	72.78060353531637	51.0	74.96670324780338	9.090909090909092	172817666.0
PDAC206Tkf1_R2	73.12047585790589	51.0	74.96670324780338	9.090909090909092	172817666.0
PDAC207T_F8-9kf1_R1	63.625602571892216	54.0	74.96335193031982	9.090909090909092	88142596.0
PDAC207T_F8-9kf1_R2	62.559697187594956	55.0	74.96335193031982	27.27272727272727	88142596.0
PDAC207Tkf1_R1	57.06117378510411	53.0	74.97588777440849	18.181818181818183	84985892.0
PDAC207Tkf1_R2	56.830083743578086	53.0	74.97588777440849	18.181818181818183	84985892.0
PDAC208T_F8-9kf1_R1	77.23085924995189	59.0	74.97202859122406	27.27272727272727	58704587.0
PDAC208T_F8-9kf1_R2	75.33784419654043	59.0	74.97202859122406	27.27272727272727	58704587.0
PDAC208Tkf1_R1	62.493784389334216	50.0	74.97504996589572	18.181818181818183	101720382.0
PDAC208Tkf1_R2	58.562546708394215	50.0	74.97504996589572	27.27272727272727	101720382.0
PDAC209T_F8-9kf1_R1	54.656706156543045	52.0	74.98179341553194	18.181818181818183	38805686.0
PDAC209T_F8-9kf1_R2	57.05149390226217	52.0	74.98179341553194	9.090909090909092	38805686.0
PDAC209Tkf1_R1	62.951859446239	50.0	74.98126600552686	27.27272727272727	88294891.0
PDAC209Tkf1_R2	62.96139851206492	50.0	74.98126600552686	18.181818181818183	88294891.0
PDAC210T_F8-9kf1_R1	72.97095116248101	58.0	74.98276448429142	27.27272727272727	49716412.0
PDAC210T_F8-9kf1_R2	70.73776656198746	58.0	74.98276448429142	27.27272727272727	49716412.0
PDAC210Tkf1_R1	61.22572150993362	49.0	74.98945517183597	18.181818181818183	74321837.0
PDAC210Tkf1_R2	57.50021160473878	49.0	74.98945517183597	18.181818181818183	74321837.0
PDAC211T_F8-9kf1_R1	59.69393427441234	54.0	74.97149746281478	27.27272727272727	52231701.0
PDAC211T_F8-9kf1_R2	60.748147889921725	55.0	74.97149746281478	18.181818181818183	52231701.0
PDAC211Tkf1_R1	60.63562250845342	48.0	74.98508821619141	27.27272727272727	112677331.0
PDAC211Tkf1_R2	60.72501936350788	48.0	74.98508821619141	27.27272727272727	112677331.0
PDAC212T_F8-9kf1_R1	65.67358117098605	54.0	74.9810019415511	27.27272727272727	61985492.0
PDAC212T_F8-9kf1_R2	66.92710413943665	54.0	74.9810019415511	27.27272727272727	61985492.0
PDAC213T_F8-9kf1_R1	82.22016811578519	58.0	74.97851730569896	27.27272727272727	72853804.0
PDAC213T_F8-9kf1_R2	81.49947873929592	58.0	74.97851730569896	36.36363636363637	72853804.0
PDAC213Tkf1_R1	71.03276052510361	53.0	74.9866039784416	27.27272727272727	132885349.0
PDAC213Tkf1_R2	71.23347668374318	53.0	74.9866039784416	18.181818181818183	132885349.0
PDAC214T_F8-9kf1_R1	80.91971001907501	59.0	74.97407532869292	27.27272727272727	75433859.0
PDAC214T_F8-9kf1_R2	80.45792360589031	59.0	74.97407532869292	36.36363636363637	75433859.0
PDAC214Tkf1_R1	71.27848993015424	54.0	74.98407967837923	27.27272727272727	89343484.0
PDAC214Tkf1_R2	70.83367311825111	54.0	74.98407967837923	36.36363636363637	89343484.0
PDAC215T_F8-9kf1_R1	91.82882438760487	61.0	74.97508241999154	27.27272727272727	72412650.0
PDAC215T_F8-9kf1_R2	90.93451161479415	62.0	74.97508241999154	36.36363636363637	72412650.0
PDAC215Tkf1_R1	67.9297679697699	54.0	74.97770016580317	27.27272727272727	132539685.0
