Sample	Unique Reads	Duplicate Reads
PDAC209Tkf_R2	32668957.0	55515276.0
PDAC210T_F8-9kf_R1	13406102.0	33564915.0
PDAC210T_F8-9kf_R2	14432709.0	32538308.0
PDAC210Tkf_R1	28776983.0	44760971.0
PDAC210Tkf_R2	31544834.0	41993120.0
PDAC211T_F8-9kf_R1	21016588.0	31151511.0
PDAC211T_F8-9kf_R2	20471616.0	31696483.0
PDAC211Tkf_R1	44306895.0	68294649.0
PDAC211Tkf_R2	44218708.0	68382836.0
PDAC212T_F8-9kf_R1	21267837.0	38459166.0
PDAC212T_F8-9kf_R2	20389714.0	39337289.0
PDAC213T_F8-9kf_R1	12916734.0	57507018.0
PDAC213T_F8-9kf_R2	13379180.0	57044572.0
PDAC213Tkf_R1	38437832.0	91489540.0
PDAC213Tkf_R2	38100011.0	91827361.0
PDAC214T_F8-9kf_R1	14353031.0	56022075.0
PDAC214T_F8-9kf_R2	14580181.0	55794925.0
PDAC214Tkf_R1	25613457.0	60812403.0
PDAC214Tkf_R2	25940772.0	60485088.0
PDAC215T_F8-9kf_R1	5862250.0	61304219.0
PDAC215T_F8-9kf_R2	6404147.0	60762322.0
PDAC215Tkf_R1	42433293.0	86250243.0
PDAC215Tkf_R2	42962880.0	85720656.0
PDAC216T_F8-9kf_R1	16432319.0	38873920.0
PDAC216T_F8-9kf_R2	15173555.0	40132684.0
PDAC216Tkf_R1	37615675.0	57558140.0
PDAC216Tkf_R2	37443467.0	57730348.0
PDAC217T_F8-9kf_R1	12747037.0	43254482.0
PDAC217T_F8-9kf_R2	12809475.0	43192044.0
PDAC217Tkf_R1	25862364.0	63804631.0
PDAC217Tkf_R2	25899746.0	63767249.0
PDAC218T_F8-9kf_R1	18895902.0	36202513.0
PDAC218T_F8-9kf_R2	18222093.0	36876322.0
PDAC218Tkf_R1	23618019.0	83311130.0
PDAC218Tkf_R2	24776888.0	82152261.0
PDAC219T_F8-9kf_R1	13593498.0	26477567.0
PDAC219T_F8-9kf_R2	13921829.0	26149236.0
PDAC219Tkf_R1	42371355.0	62757439.0
PDAC219Tkf_R2	41520823.0	63607971.0
PDAC220T_F8-9kf_R1	7737458.0	50538890.0
PDAC220T_F8-9kf_R2	8372672.0	49903676.0
PDAC220Tkf_R1	34544315.0	64134721.0
PDAC220Tkf_R2	34493492.0	64185544.0
PDAC221T_F8-9kf_R1	10472621.0	29677262.0
PDAC221T_F8-9kf_R2	10661500.0	29488383.0
PDAC221Tkf_R1	27915148.0	60831198.0
PDAC221Tkf_R2	30245648.0	58500698.0
PDAC222T_F8-9kf_R1	12510428.0	34634112.0
PDAC222T_F8-9kf_R2	12416788.0	34727752.0
PDAC222Tkf_R1	30158314.0	67505954.0
PDAC222Tkf_R2	27951967.0	69712301.0
PDAC223T_F8-9kf_R1	12970028.0	39997927.0
PDAC223T_F8-9kf_R2	13106589.0	39861366.0
PDAC223Tkf_R1	35830284.0	66680462.0
PDAC223Tkf_R2	35550739.0	66960007.0
PDAC224T_F8-9kf_R1	23355303.0	33053233.0
PDAC224T_F8-9kf_R2	22112262.0	34296274.0
PDAC224Tkf_R1	27631204.0	64477570.0
PDAC224Tkf_R2	28201609.0	63907165.0
PDAC225T_F8-9kf_R1	21272908.0	28034046.0
PDAC225T_F8-9kf_R2	20269598.0	29037356.0
PDAC225Tkf_R1	37846092.0	55927887.0
PDAC225Tkf_R2	37765101.0	56008878.0
PDAC226T_F8-9kf_R1	10098625.0	71254211.0
PDAC226T_F8-9kf_R2	11509863.0	69842973.0
PDAC226Tkf_R1	41026131.0	69000656.0
PDAC226Tkf_R2	41715558.0	68311229.0
PDAC227T_F8-9kf_R1	18623869.0	29860661.0
PDAC227T_F8-9kf_R2	17049671.0	31434859.0
PDAC227Tkf_R1	22217151.0	59361844.0
PDAC227Tkf_R2	22256596.0	59322399.0
