Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PDAC210Tkf_R1	0.6209800180189947	3.9738024258874542
PDAC210Tkf_R2	0.31418741946505613	2.906840459553716
PDAC211T_F8-9kf_R1	0.8390990056969491	5.465311281517083
PDAC211T_F8-9kf_R2	0.679409460559412	6.655101616794586
PDAC211Tkf_R1	0.40000339604579493	2.5138056721495756
PDAC211Tkf_R2	0.25093172789886437	1.590514602535113
PDAC212T_F8-9kf_R1	0.2981549233267238	1.1425753272770107
PDAC212T_F8-9kf_R2	0.16935723361173838	0.46858872192197554
PDAC213T_F8-9kf_R1	0.2837423373863977	4.446481351916607
PDAC213T_F8-9kf_R2	0.35736806525162135	6.006507577159478
PDAC213Tkf_R1	0.5081569724969116	4.349326021925542
PDAC213Tkf_R2	0.33211862393399294	2.988217140265101
PDAC214T_F8-9kf_R1	0.6585879955903725	6.051455183598587
PDAC214T_F8-9kf_R2	0.59457104050401	7.3677672329189825
PDAC214Tkf_R1	0.31516608570629207	2.000619953333412
PDAC214Tkf_R2	0.316674893371035	2.0185601855740867
PDAC215T_F8-9kf_R1	1.0812910233527386	19.469987323585528
PDAC215T_F8-9kf_R2	1.4771373495903142	25.054558101007213
PDAC215Tkf_R1	0.60581875835305	5.773981840225466
PDAC215Tkf_R2	0.31624869245122395	4.951549512907385
PDAC216T_F8-9kf_R1	0.25692580542314586	1.8455006495740922
PDAC216T_F8-9kf_R2	0.29796999937023383	2.4172372306856738
PDAC216Tkf_R1	0.7084175411062381	5.163137570980005
PDAC216Tkf_R2	0.45179863810229737	2.816734834050732
PDAC217T_F8-9kf_R1	1.1745395691856144	9.588354201606567
PDAC217T_F8-9kf_R2	1.0335451793727237	11.525319518565206
PDAC217Tkf_R1	0.60273571117221	5.098711069775452
PDAC217Tkf_R2	0.3866562049949371	4.381698081886207
PDAC218T_F8-9kf_R1	0.24769133558560624	1.151269051931893
PDAC218T_F8-9kf_R2	0.20052300960018543	0.6496357472351973
PDAC218Tkf_R1	0.8159197077309573	9.266083282866115
PDAC218Tkf_R2	0.43450733906055866	8.038731328536057
PDAC219T_F8-9kf_R1	0.5956991659692599	5.690387814748622
PDAC219T_F8-9kf_R2	0.6426532461765116	5.519062196125809
PDAC219Tkf_R1	0.5262811252262629	4.463290999038761
PDAC219Tkf_R2	0.3142726054671568	2.95050564358229
PDAC220T_F8-9kf_R1	1.1127241535451056	22.004834620041713
PDAC220T_F8-9kf_R2	1.2824362295317475	24.71706703378187
PDAC220Tkf_R1	0.7307306893431752	7.292905658300108
PDAC220Tkf_R2	0.8058763362868685	4.88319018438729
PDAC221T_F8-9kf_R1	0.6683929813693354	5.469844083979023
PDAC221T_F8-9kf_R2	0.4089351891760183	4.816230722266364
PDAC221Tkf_R1	1.631618726026196	15.712331412495562
PDAC221Tkf_R2	0.6132579250079772	12.765751504856318
PDAC222T_F8-9kf_R1	1.0768542868378819	9.153462946080287
PDAC222T_F8-9kf_R2	0.6005743188924952	8.447268761133312
PDAC222Tkf_R1	0.8820185904634027	4.263906426862278
PDAC222Tkf_R2	0.3728200778610249	3.136655875002309
PDAC223T_F8-9kf_R1	0.3781078578548105	2.980451104823662
PDAC223T_F8-9kf_R2	0.5225083732230176	3.818506868917255
PDAC223Tkf_R1	0.34439901549443414	1.8977171427471615
PDAC223Tkf_R2	0.24448558788168415	1.080017503725902
PDAC224T_F8-9kf_R1	0.2542824369701777	0.5618316348433507
PDAC224T_F8-9kf_R2	0.13152973869061238	0.0
PDAC224Tkf_R1	0.9404055253194445	6.620074000767831
PDAC224Tkf_R2	0.38866655634782415	5.858299666435687
PDAC225T_F8-9kf_R1	0.22376356892782304	0.8697475005249766
PDAC225T_F8-9kf_R2	0.20785303427991111	0.39527487339818235
PDAC225Tkf_R1	0.7962827299884545	6.172166374640026
PDAC225Tkf_R2	0.4300691986206536	4.313567626260158
PDAC226T_F8-9kf_R1	0.9150301779276631	19.603722235325634
PDAC226T_F8-9kf_R2	1.2349059349326186	22.316912221720212
PDAC226Tkf_R1	0.8286291228335151	6.143401242826437
PDAC226Tkf_R2	0.33322976158524015	5.499591658529482
PDAC227T_F8-9kf_R1	0.272012536782351	0.9375918463064405
PDAC227T_F8-9kf_R2	0.271329844797918	0.4067441718007786
PDAC227Tkf_R1	0.41794459468396244	3.9482712431061455
PDAC227Tkf_R2	0.629561567901149	3.968461489382161
