EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000116729	2833	1659	2787	1577	7660	4443	1103	457
ENSG00000233994	21	25	15	7	28	9	19	9
ENSG00000162616	2301	1635	1959	1157	2197	1785	3107	1049
ENSG00000162607	1239	1125	925	548	565	528	1127	363
ENSG00000154027	373	356	245	160	1796	1568	137	43
ENSG00000132122	84	95	43	40	21	21	51	20
ENSG00000137960	52	66	18	16	18	27	82	45
ENSG00000227288	0	1	1	1	0	1	0	1
ENSG00000237852	0	0	0	1	0	1	1	0
ENSG00000116745	0	1	4	0	0	1	0	0
ENSG00000132855	2	3	1	0	1	0	3	0
ENSG00000172380	5482	9208	7610	6646	2609	6249	5991	4787
ENSG00000116675	80	63	142	83	47	48	145	44
ENSG00000162433	985	891	1660	996	392	567	3906	2235
ENSG00000213625	1359	1974	1741	1613	1171	2161	1849	1268
ENSG00000085999	63	49	18	26	33	25	36	21
ENSG00000227207	1	0	1	0	1	1	0	0
ENSG00000236200	7	5	5	5	4	14	6	3
ENSG00000237928	0	0	2	1	0	0	0	1
ENSG00000158966	83	78	191	118	227	158	9	4
ENSG00000203965	152	113	130	64	65	48	148	65
ENSG00000153898	7	7	2	2	11	6	0	0
ENSG00000117069	170	220	637	519	385	561	633	437
ENSG00000286918	2	2	2	3	2	1	0	0
ENSG00000125703	293	314	202	164	183	249	287	153
ENSG00000185839	382	362	177	165	255	272	324	233
ENSG00000285851	0	0	1	0	1	1	0	0
ENSG00000162618	899	867	469	290	753	856	613	287
ENSG00000230863	10	7	4	3	8	1	4	0
ENSG00000234383	0	2	2	0	1	0	1	1
ENSG00000271576	1	1	0	2	0	4	1	8
ENSG00000213560	1	4	1	0	5	1	3	0
ENSG00000153936	680	584	1045	589	673	719	632	261
ENSG00000174021	438	1026	384	519	296	710	366	662
ENSG00000084072	774	693	449	353	588	658	908	653
ENSG00000180488	531	416	593	334	426	368	543	183
ENSG00000286863	1	5	1	1	3	6	1	4
ENSG00000188786	426	359	409	291	252	313	457	221
ENSG00000117151	280	264	268	211	316	318	221	130
ENSG00000162434	5116	3341	5436	3251	4078	2831	7883	2710
ENSG00000137941	420	296	163	90	186	153	281	115
ENSG00000116717	2833	3289	3420	2856	2386	2702	4082	2617
ENSG00000137968	1	0	1	1	0	1	0	1
ENSG00000066135	477	381	473	299	356	325	676	247
ENSG00000232453	0	2	0	1	2	8	0	0
ENSG00000117174	699	527	710	335	615	531	858	390
ENSG00000234807	9	9	3	3	4	10	1	3
ENSG00000288543	0	0	2	3	2	2	0	0
ENSG00000122420	57	81	199	145	114	118	140	67
ENSG00000143013	1402	1703	1683	1281	1513	1741	1523	1187
ENSG00000226084	496	1519	383	501	399	893	273	864
ENSG00000134748	670	598	488	284	388	341	541	229
ENSG00000097096	52	47	59	26	54	59	65	17
ENSG00000142892	1484	1067	1322	780	1243	980	1249	469
ENSG00000219102	1	0	1	2	3	0	1	0
ENSG00000184005	39	39	6	4	1	0	0	5
ENSG00000230953	0	1	0	0	1	1	1	3
ENSG00000237505	3	5	2	1	0	2	0	1
ENSG00000058804	879	811	503	295	314	347	315	167
ENSG00000162402	991	725	990	462	520	443	1131	340
ENSG00000219201	329	648	353	310	232	551	361	166
ENSG00000230787	1	0	5	1	1	0	3	2
ENSG00000116641	2295	1594	2405	1199	1755	1267	2673	763
ENSG00000235927	10	16	25	18	33	38	20	26
ENSG00000281207	2	2	0	0	0	2	0	0
ENSG00000172260	1490	1154	1713	731	1809	1671	1542	581
ENSG00000185104	1169	902	792	531	815	660	1210	564
ENSG00000117480	14	14	15	4	10	2	14	9
ENSG00000227960	0	2	4	1	0	1	3	1
ENSG00000137944	293	273	408	297	627	513	1070	441
ENSG00000182183	0	0	1	1	1	1	0	1
ENSG00000232284	8	8	5	1	3	4	12	7
